match_id,side,lineup_strength,known_share
28944,a,0.1834172286812161,0.8939393939393939
28944,h,0.3295375542146412,0.9868686868686869
28945,a,0.27720140487833034,1.0
28945,h,0.2954745311303161,1.0
28946,a,0.3291105641845886,0.998992950654582
28946,h,0.19710251637202628,1.0
28947,a,0.20043639280300152,1.0
28947,h,0.17214777804837922,0.9002016129032258
28948,a,0.2200785748489137,0.9494949494949495
28948,h,0.3569991437479765,0.9262626262626262
28949,a,0.261228881677802,0.9505050505050505
28949,h,0.20296653621335187,0.9889112903225806
28950,a,0.22597731888182032,1.0
28950,h,0.18769058423998136,0.43737373737373736
28951,a,0.2354236932497846,1.0
28951,h,0.2964278828715702,0.9838383838383838
28952,a,0.20867816797777178,1.0
28952,h,0.2472049449770708,1.0
28953,a,0.12450011405434136,0.8101010101010101
28953,h,0.3060862264984793,0.9989909182643795
28954,a,0.29711560151600247,1.0
28954,h,0.26281615761590266,0.8679435483870968
28955,a,0.34381912354475413,1.0
28955,h,0.1931228524186564,0.8183652875882946
28956,a,0.2313277233205672,0.544904137235116
28956,h,0.20879980694553466,0.544904137235116
28957,a,0.2032308288765062,0.9303030303030303
28957,h,0.17994164292486478,0.902020202020202
28958,a,0.2692776245236638,0.98989898989899
28958,h,0.3306358415075252,0.9191919191919192
28959,a,0.21587670957078803,1.0
28959,h,0.19702831989488687,0.9090909090909091
28960,a,0.2868694697680139,1.0
28960,h,0.17333863245640307,0.4536290322580645
28961,a,0.3124524166792511,1.0
28961,h,0.2727573989619918,0.9092741935483871
28962,a,0.20452001374240186,0.9101010101010101
28962,h,0.22619176465246835,1.0
28963,a,0.20415628660927862,0.6488395560040363
28963,h,0.3367943983821313,0.9959595959595959
28964,a,0.15386178738180184,0.7507568113017155
28964,h,0.26977717824474895,0.8515151515151516
28965,a,0.23085974050729025,1.0
28965,h,0.2171946450389027,0.8454545454545455
28966,a,0.3483987800688061,1.0
28966,h,0.20326189904321892,0.5323232323232323
28967,a,0.23785983575493616,0.9323915237134208
28967,h,0.17597330550315238,0.9073514602215509
28968,a,0.2556873504939737,0.9979859013091642
28968,h,0.287904926547428,1.0
28969,a,0.19971606205818795,0.5242424242424243
28969,h,0.2312884267367851,1.0
28970,a,0.20585074622515465,0.9090909090909091
28970,h,0.13227742549697027,0.7258064516129032
28971,a,0.3020903115770303,0.9313131313131313
28971,h,0.30772099326458513,0.9858585858585859
28972,a,0.21446935298613223,0.8323232323232324
28972,h,0.24843180940576987,1.0
28973,a,0.19197762037094543,0.3878787878787879
28973,h,0.2407686309667806,0.907070707070707
28974,a,0.20954820206345073,0.8960645812310797
28974,h,0.23626742645014723,1.0
28975,a,0.2930677755313649,1.0
28975,h,0.2020872598066171,0.9858728557013118
28976,a,0.2523204376985146,0.9090909090909091
28976,h,0.22124121663820231,0.7181818181818181
28977,a,0.3075939898663251,0.9252525252525252
28977,h,0.3464834202953253,1.0
28978,a,0.1335473466800325,0.7709384460141272
28978,h,0.23286473545557929,1.0
28979,a,0.23430831000540728,1.0
28979,h,0.27422009284855153,0.9305135951661632
28980,a,0.30020781937931873,1.0
28980,h,0.31995646670729616,0.9333333333333333
28981,a,0.19528398318251633,0.4888888888888889
28981,h,0.20751574272064885,0.9777777777777777
28982,a,0.27558030147617674,0.9050505050505051
28982,h,0.10699101951829496,0.3511604439959637
28983,a,0.2515776434005456,1.0
28983,h,0.2675369348838165,1.0
28984,a,0.274572198411297,0.9315960912052117
28984,h,0.20001730927736988,0.9627016129032258
28985,a,0.2560081459801336,0.906060606060606
28985,h,0.30738672422306523,0.9090909090909091
28986,a,0.17348080647579414,0.545271629778672
28986,h,0.30698883110665154,1.0
28987,a,0.17991231725817738,0.9091826437941474
28987,h,0.25474989338082016,0.9383838383838384
28988,a,0.25279844587420486,1.0
28988,h,0.27188764597728726,0.9858585858585859
28989,a,0.24600152088425695,0.9212916246215943
28989,h,0.256868756153113,0.9909182643794148
28990,a,0.22156520836319146,0.9939455095862765
28990,h,0.29114961753901236,0.997979797979798
28991,a,0.21817480579847137,0.9757575757575757
28991,h,0.30175618321726544,0.35317860746720486
28992,a,0.09572197940143998,0.4375
28992,h,0.3597083869677132,0.98989898989899
28993,a,0.3170654003752123,0.9434343434343434
28993,h,0.2794264297961122,0.9092741935483871
28994,a,0.30295612038748804,0.9393939393939394
28994,h,0.16663710106435992,0.9202825428859738
28995,a,0.2649518102408914,1.0
28995,h,0.14803337305027323,0.45408678102926336
28996,a,0.2540237846207632,0.9122983870967742
28996,h,0.24519840676896773,1.0
28997,a,0.3038567980219414,1.0
28997,h,0.12818921689137644,0.8242424242424242
28998,a,0.38179007520566116,0.9868686868686869
28998,h,0.20702356904514638,0.9273461150353178
28999,a,0.28167255068812763,0.9091826437941474
28999,h,0.3459658171359858,0.9696969696969697
29000,a,0.1687750309349148,0.9243188698284561
29000,h,0.23701740055405146,0.9818181818181818
29001,a,0.22285510015208604,1.0
29001,h,0.09380946445083223,0.4353535353535353
29002,a,0.24252759993300446,0.9161616161616162
29002,h,0.2811691545962043,1.0
29003,a,0.26856010685980364,0.36666666666666664
29003,h,0.21123386952809056,1.0
29004,a,0.2529912603657713,0.907070707070707
29004,h,0.2411814659860753,0.9404040404040404
29005,a,0.13675048031172152,0.8434343434343434
29005,h,0.334365031097007,1.0
29006,a,0.2587487674727092,1.0
29006,h,0.2883250939416221,1.0
29007,a,0.1775541766269796,0.3595959595959596
29007,h,0.25234390631049586,0.8970736629667003
29008,a,0.2282719680170668,0.9309245483528161
29008,h,0.2624453498681353,1.0
29009,a,0.2633832815662004,0.8404040404040404
29009,h,0.30139620101230846,0.9484848484848485
29010,a,0.19832038140670788,1.0
29010,h,0.2541311447423376,0.9091826437941474
29011,a,0.10710302609325102,0.3696969696969697
29011,h,0.17462751568118648,0.45408678102926336
29012,a,0.2534995805001807,0.9838383838383838
29012,h,0.3079544786826296,0.9091826437941474
29013,a,0.278491788863036,1.0
29013,h,0.16668365567971496,0.8792372881355932
29014,a,0.2698274345252845,0.9989909182643795
29014,h,0.40889195878305556,1.0
29015,a,0.3015213960028907,0.9212121212121213
29015,h,0.26453044752278165,0.4131313131313131
29016,a,0.3284034495231218,1.0
29016,h,0.21450735715521307,0.9989909182643795
29017,a,0.20107913359987373,0.9061553985872856
29017,h,0.1335285481491057,0.8084677419354839
29018,a,0.2604038297003176,1.0
29018,h,0.2249074096571344,0.8407258064516129
29019,a,0.17479287015934702,0.4696969696969697
29019,h,0.30722532552048565,0.9737638748738647
29020,a,0.27611127041455336,1.0
29020,h,0.2716231727451599,0.7464646464646465
29021,a,0.2774937761534813,0.8800403225806451
29021,h,0.13445607113937386,0.31212121212121213
29022,a,0.19916148162807365,1.0
29022,h,0.2785841391469091,0.9858585858585859
29023,a,0.1671483383532012,0.8666666666666667
29023,h,0.29555400210877425,0.36427850655903127
29024,a,0.32855005047106844,1.0
29024,h,0.4092639360710866,1.0
29025,a,0.21906990487915085,0.9676724137931034
29025,h,0.3097902694630851,0.9084507042253521
29026,a,0.23071355383945258,0.9334006054490414
29026,h,0.3255032615987121,1.0
29027,a,0.2704711993449113,0.9989909182643795
29027,h,0.17335855660195273,0.8183652875882946
29028,a,0.24333276671309775,0.9676767676767677
29028,h,0.27152494162403007,0.9868686868686869
29029,a,0.28594547561268463,0.9090909090909091
29029,h,0.22821237478594034,0.9828456104944501
29030,a,0.2542618122203461,0.450050454086781
29030,h,0.2841862653534517,0.8909090909090909
29031,a,0.10704635576759637,0.29061553985872857
29031,h,0.2903220964529267,1.0
29032,a,0.22599235419579497,0.8183652875882946
29032,h,0.20068893629162332,1.0
29033,a,0.26961402081087804,0.9717171717171718
29033,h,0.31083855750327294,1.0
29034,a,0.1699177140770992,0.8181818181818182
29034,h,0.18463684185532822,0.9818181818181818
29035,a,0.3812927071378755,1.0
29035,h,0.17741846443248788,0.45408678102926336
29036,a,0.2794048235199125,1.0
29036,h,0.22420532224861864,1.0
29037,a,0.3098859919953528,0.9090909090909091
29037,h,0.26900255110196936,0.8387096774193549
29038,a,0.2399940290706317,0.3797979797979798
29038,h,0.2779094890122622,1.0
29039,a,0.2509133949940626,0.992936427850656
29039,h,0.24085789662042675,0.8787878787878788
29040,a,0.11987846561982819,0.24545454545454545
29040,h,0.2710496216830469,0.9918032786885246
29041,a,0.1534468410579358,0.7888198757763976
29041,h,0.28490025944255737,1.0
29042,a,0.29998281674171284,0.9091826437941474
29042,h,0.20446996545419607,1.0
29043,a,0.2738635826940341,1.0
29043,h,0.32939965506272306,1.0
29044,a,0.3773629620431758,0.98989898989899
29044,h,0.1822526568440829,0.9192734611503531
29045,a,0.24636757039988835,0.9546827794561934
29045,h,0.17326841545710675,0.36363636363636365
29046,a,0.32656185495401385,0.9091826437941474
29046,h,0.19260651686958646,1.0
29047,a,0.22388093481995008,0.8185483870967742
29047,h,0.26457750091858395,0.9040404040404041
29048,a,0.16879280229812174,0.4419778002018164
29048,h,0.22964764453952613,0.8222222222222222
29049,a,0.28254095991599976,0.9191402251791198
29049,h,0.3313544670210855,0.9191919191919192
29050,a,0.17600546343781762,0.8818181818181818
29050,h,0.2514911611118553,0.9989909182643795
29051,a,0.2858461125539293,0.9707070707070707
29051,h,0.21044317567700527,0.26337033299697277
29052,a,0.2312660585799516,0.9939455095862765
29052,h,0.25074880254242216,1.0
29053,a,0.3234746929846484,1.0
29053,h,0.2552047290092152,0.3860887096774194
29054,a,0.27035361696727617,0.907258064516129
29054,h,0.3677107727227877,0.9889001009081736
29055,a,0.2757151258186095,1.0
29055,h,0.2929960410342245,0.9090909090909091
29056,a,0.2085242229196654,1.0
29056,h,0.2811085755162222,1.0
29057,a,0.264447058341256,0.996969696969697
29057,h,0.15151451023394255,0.9012096774193549
29058,a,0.2762525400126296,0.9353535353535354
29058,h,0.23529912180073936,0.9090909090909091
29059,a,0.2906837508801841,0.9092741935483871
29059,h,0.2697634827719197,0.9818181818181818
29060,a,0.3334468523708036,0.9373737373737374
29060,h,0.26324988961954354,0.9090909090909091
29061,a,0.1277161610932782,0.3282828282828283
29061,h,0.20976153895351513,1.0
29062,a,0.26675089466027346,0.9082661290322581
29062,h,0.24723107952118195,1.0
29063,a,0.1769779110534009,0.3629032258064516
29063,h,0.2635519258080861,0.37575757575757573
29064,a,0.16029390016204098,0.8256048387096774
29064,h,0.3646476662836932,1.0
29065,a,0.2944439119114474,0.9091826437941474
29065,h,0.23741998161423153,1.0
29066,a,0.2737689943056717,1.0
29066,h,0.23148456478067844,0.9551760939167556
29067,a,0.3952620537751056,0.9767676767676767
29067,h,0.1421252521547637,0.8808080808080808
29068,a,0.21566147432701827,1.0
29068,h,0.3488833405097539,0.9646464646464646
29069,a,0.15341330881291376,0.8960645812310797
29069,h,0.2697153862517107,0.9090909090909091
29070,a,0.24135957882580836,0.8292929292929293
29070,h,0.14319140412334672,0.27474747474747474
29071,a,0.33300693385972524,1.0
29071,h,0.2822552426741749,0.9959595959595959
29072,a,0.2533288853284286,0.4857744994731296
29072,h,0.3210639170624271,0.9090909090909091
29073,a,0.26059318162915684,0.9283551967709385
29073,h,0.3329931643128155,0.9283551967709385
29074,a,0.27101074656080615,1.0
29074,h,0.3035917587822869,0.9091826437941474
