model,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,mkt_home,mkt_draw,mkt_away,odds_source,as_of,p_home,p_draw,p_away
elo-poisson,E0,2024-01-31,Liverpool,Chelsea,4,1,0.5842,0.2174,0.1983,PSCH,2024-01-12,0.6938,0.184,0.1222
gbm,E0,2024-01-31,Liverpool,Chelsea,4,1,0.5842,0.2174,0.1983,PSCH,2024-01-12,0.7314,0.1765,0.0922
xg-dixon-coles,E0,2024-01-31,Liverpool,Chelsea,4,1,0.5842,0.2174,0.1983,PSCH,2024-01-12,0.6322,0.1958,0.1719
ensemble,E0,2024-01-31,Liverpool,Chelsea,4,1,0.5842,0.2174,0.1983,PSCH,2024-01-12,0.676,0.1903,0.1336
dixon-coles,E0,2024-02-01,Wolves,Man United,3,4,0.3233,0.2812,0.3955,PSCH,2024-01-12,0.3195,0.2768,0.4037
elo-poisson,E0,2024-02-01,Wolves,Man United,3,4,0.3233,0.2812,0.3955,PSCH,2024-01-12,0.3583,0.2639,0.3778
gbm,E0,2024-02-01,Wolves,Man United,3,4,0.3233,0.2812,0.3955,PSCH,2024-01-12,0.3701,0.2756,0.3543
xg-dixon-coles,E0,2024-02-01,Wolves,Man United,3,4,0.3233,0.2812,0.3955,PSCH,2024-01-12,0.3318,0.2645,0.4036
ensemble,E0,2024-02-01,Wolves,Man United,3,4,0.3233,0.2812,0.3955,PSCH,2024-01-12,0.3448,0.2705,0.3848
dixon-coles,E0,2024-02-01,West Ham,Bournemouth,1,1,0.388,0.2751,0.337,PSCH,2024-01-12,0.576,0.219,0.205
elo-poisson,E0,2024-02-01,West Ham,Bournemouth,1,1,0.388,0.2751,0.337,PSCH,2024-01-12,0.5073,0.2467,0.2461
gbm,E0,2024-02-01,West Ham,Bournemouth,1,1,0.388,0.2751,0.337,PSCH,2024-01-12,0.4179,0.2394,0.3427
xg-dixon-coles,E0,2024-02-01,West Ham,Bournemouth,1,1,0.388,0.2751,0.337,PSCH,2024-01-12,0.5302,0.2321,0.2377
ensemble,E0,2024-02-01,West Ham,Bournemouth,1,1,0.388,0.2751,0.337,PSCH,2024-01-12,0.5086,0.236,0.2553
dixon-coles,E0,2024-02-03,Burnley,Fulham,2,2,0.3276,0.2967,0.3757,PSCH,2024-01-12,0.3663,0.2583,0.3754
elo-poisson,E0,2024-02-03,Burnley,Fulham,2,2,0.3276,0.2967,0.3757,PSCH,2024-01-12,0.3876,0.2633,0.3491
gbm,E0,2024-02-03,Burnley,Fulham,2,2,0.3276,0.2967,0.3757,PSCH,2024-01-12,0.3856,0.2452,0.3692
xg-dixon-coles,E0,2024-02-03,Burnley,Fulham,2,2,0.3276,0.2967,0.3757,PSCH,2024-01-12,0.3711,0.2611,0.3678
ensemble,E0,2024-02-03,Burnley,Fulham,2,2,0.3276,0.2967,0.3757,PSCH,2024-01-12,0.3777,0.257,0.3653
dixon-coles,E0,2024-02-03,Newcastle,Luton,4,4,0.6295,0.2067,0.1638,PSCH,2024-01-12,0.7317,0.1675,0.1008
elo-poisson,E0,2024-02-03,Newcastle,Luton,4,4,0.6295,0.2067,0.1638,PSCH,2024-01-12,0.6333,0.2086,0.1581
gbm,E0,2024-02-03,Newcastle,Luton,4,4,0.6295,0.2067,0.1638,PSCH,2024-01-12,0.6754,0.1629,0.1617
xg-dixon-coles,E0,2024-02-03,Newcastle,Luton,4,4,0.6295,0.2067,0.1638,PSCH,2024-01-12,0.7822,0.1383,0.0795
ensemble,E0,2024-02-03,Newcastle,Luton,4,4,0.6295,0.2067,0.1638,PSCH,2024-01-12,0.7101,0.1691,0.1208
dixon-coles,E0,2024-02-03,Brighton,Crystal Palace,4,1,0.5592,0.2547,0.1861,PSCH,2024-01-12,0.5351,0.2404,0.2245
elo-poisson,E0,2024-02-03,Brighton,Crystal Palace,4,1,0.5592,0.2547,0.1861,PSCH,2024-01-12,0.5765,0.2281,0.1954
gbm,E0,2024-02-03,Brighton,Crystal Palace,4,1,0.5592,0.2547,0.1861,PSCH,2024-01-12,0.611,0.2158,0.1731
xg-dixon-coles,E0,2024-02-03,Brighton,Crystal Palace,4,1,0.5592,0.2547,0.1861,PSCH,2024-01-12,0.5627,0.2316,0.2057
ensemble,E0,2024-02-03,Brighton,Crystal Palace,4,1,0.5592,0.2547,0.1861,PSCH,2024-01-12,0.5717,0.2292,0.1992
dixon-coles,E0,2024-02-03,Everton,Tottenham,2,2,0.3136,0.26,0.4264,PSCH,2024-01-12,0.2709,0.2332,0.4959
elo-poisson,E0,2024-02-03,Everton,Tottenham,2,2,0.3136,0.26,0.4264,PSCH,2024-01-12,0.2961,0.2596,0.4443
gbm,E0,2024-02-03,Everton,Tottenham,2,2,0.3136,0.26,0.4264,PSCH,2024-01-12,0.2942,0.2338,0.4719
xg-dixon-coles,E0,2024-02-03,Everton,Tottenham,2,2,0.3136,0.26,0.4264,PSCH,2024-01-12,0.3435,0.2377,0.4188
ensemble,E0,2024-02-03,Everton,Tottenham,2,2,0.3136,0.26,0.4264,PSCH,2024-01-12,0.3008,0.2414,0.4579
dixon-coles,E0,2024-02-03,Sheffield United,Aston Villa,0,5,0.1816,0.226,0.5924,PSCH,2024-01-12,0.1946,0.2291,0.5763
elo-poisson,E0,2024-02-03,Sheffield United,Aston Villa,0,5,0.1816,0.226,0.5924,PSCH,2024-01-12,0.1724,0.2218,0.6058
gbm,E0,2024-02-03,Sheffield United,Aston Villa,0,5,0.1816,0.226,0.5924,PSCH,2024-01-12,0.2796,0.2089,0.5116
xg-dixon-coles,E0,2024-02-03,Sheffield United,Aston Villa,0,5,0.1816,0.226,0.5924,PSCH,2024-01-12,0.1775,0.2252,0.5973
ensemble,E0,2024-02-03,Sheffield United,Aston Villa,0,5,0.1816,0.226,0.5924,PSCH,2024-01-12,0.2031,0.2223,0.5746
dixon-coles,E0,2024-02-04,Man United,West Ham,3,0,0.6233,0.2119,0.1648,PSCH,2024-01-12,0.4814,0.2491,0.2695
elo-poisson,E0,2024-02-04,Man United,West Ham,3,0,0.6233,0.2119,0.1648,PSCH,2024-01-12,0.4567,0.2563,0.287
gbm,E0,2024-02-04,Man United,West Ham,3,0,0.6233,0.2119,0.1648,PSCH,2024-01-12,0.4964,0.2467,0.257
xg-dixon-coles,E0,2024-02-04,Man United,West Ham,3,0,0.6233,0.2119,0.1648,PSCH,2024-01-12,0.4911,0.2429,0.266
ensemble,E0,2024-02-04,Man United,West Ham,3,0,0.6233,0.2119,0.1648,PSCH,2024-01-12,0.4814,0.2488,0.2698
dixon-coles,E0,2024-02-04,Chelsea,Wolves,2,4,0.6296,0.2094,0.161,PSCH,2024-01-12,0.5449,0.2452,0.2098
elo-poisson,E0,2024-02-04,Chelsea,Wolves,2,4,0.6296,0.2094,0.161,PSCH,2024-01-12,0.4727,0.2536,0.2737
gbm,E0,2024-02-04,Chelsea,Wolves,2,4,0.6296,0.2094,0.161,PSCH,2024-01-12,0.5176,0.2827,0.1996
xg-dixon-coles,E0,2024-02-04,Chelsea,Wolves,2,4,0.6296,0.2094,0.161,PSCH,2024-01-12,0.5869,0.2234,0.1897
ensemble,E0,2024-02-04,Chelsea,Wolves,2,4,0.6296,0.2094,0.161,PSCH,2024-01-12,0.5314,0.2516,0.217
dixon-coles,E0,2024-02-04,Bournemouth,Nott'm Forest,1,1,0.5844,0.222,0.1936,PSCH,2024-01-12,0.4774,0.2524,0.2702
elo-poisson,E0,2024-02-04,Bournemouth,Nott'm Forest,1,1,0.5844,0.222,0.1936,PSCH,2024-01-12,0.4887,0.2506,0.2607
gbm,E0,2024-02-04,Bournemouth,Nott'm Forest,1,1,0.5844,0.222,0.1936,PSCH,2024-01-12,0.5283,0.2806,0.1911
xg-dixon-coles,E0,2024-02-04,Bournemouth,Nott'm Forest,1,1,0.5844,0.222,0.1936,PSCH,2024-01-12,0.4857,0.2528,0.2615
ensemble,E0,2024-02-04,Bournemouth,Nott'm Forest,1,1,0.5844,0.222,0.1936,PSCH,2024-01-12,0.4961,0.2596,0.2443
dixon-coles,E0,2024-02-04,Arsenal,Liverpool,3,1,0.4422,0.2594,0.2984,PSCH,2024-01-12,0.3738,0.2424,0.3839
elo-poisson,E0,2024-02-04,Arsenal,Liverpool,3,1,0.4422,0.2594,0.2984,PSCH,2024-01-12,0.3511,0.2638,0.3852
gbm,E0,2024-02-04,Arsenal,Liverpool,3,1,0.4422,0.2594,0.2984,PSCH,2024-01-12,0.3629,0.2568,0.3803
xg-dixon-coles,E0,2024-02-04,Arsenal,Liverpool,3,1,0.4422,0.2594,0.2984,PSCH,2024-01-12,0.4188,0.2416,0.3396
ensemble,E0,2024-02-04,Arsenal,Liverpool,3,1,0.4422,0.2594,0.2984,PSCH,2024-01-12,0.3764,0.2513,0.3723
dixon-coles,E0,2024-02-05,Brentford,Man City,1,3,0.1241,0.1793,0.6966,PSCH,2024-01-12,0.1563,0.1939,0.6498
elo-poisson,E0,2024-02-05,Brentford,Man City,1,3,0.1241,0.1793,0.6966,PSCH,2024-01-12,0.1528,0.211,0.6362
gbm,E0,2024-02-05,Brentford,Man City,1,3,0.1241,0.1793,0.6966,PSCH,2024-01-12,0.2488,0.2163,0.5349
xg-dixon-coles,E0,2024-02-05,Brentford,Man City,1,3,0.1241,0.1793,0.6966,PSCH,2024-01-12,0.2013,0.2231,0.5756
ensemble,E0,2024-02-05,Brentford,Man City,1,3,0.1241,0.1793,0.6966,PSCH,2024-01-12,0.1871,0.212,0.6009
dixon-coles,E0,2024-02-10,Luton,Sheffield United,1,3,0.5645,0.2397,0.1958,PSCH,2024-02-09,0.4582,0.2639,0.2779
elo-poisson,E0,2024-02-10,Luton,Sheffield United,1,3,0.5645,0.2397,0.1958,PSCH,2024-02-09,0.5339,0.2395,0.2266
gbm,E0,2024-02-10,Luton,Sheffield United,1,3,0.5645,0.2397,0.1958,PSCH,2024-02-09,0.5035,0.2523,0.2443
xg-dixon-coles,E0,2024-02-10,Luton,Sheffield United,1,3,0.5645,0.2397,0.1958,PSCH,2024-02-09,0.4821,0.2547,0.2632
ensemble,E0,2024-02-10,Luton,Sheffield United,1,3,0.5645,0.2397,0.1958,PSCH,2024-02-09,0.4945,0.2529,0.2527
dixon-coles,E0,2024-02-10,Liverpool,Burnley,3,1,0.833,0.1042,0.0627,PSCH,2024-02-09,0.7845,0.1397,0.0758
elo-poisson,E0,2024-02-10,Liverpool,Burnley,3,1,0.833,0.1042,0.0627,PSCH,2024-02-09,0.785,0.1397,0.0753
gbm,E0,2024-02-10,Liverpool,Burnley,3,1,0.833,0.1042,0.0627,PSCH,2024-02-09,0.7392,0.1799,0.0809
xg-dixon-coles,E0,2024-02-10,Liverpool,Burnley,3,1,0.833,0.1042,0.0627,PSCH,2024-02-09,0.7838,0.1384,0.0778
ensemble,E0,2024-02-10,Liverpool,Burnley,3,1,0.833,0.1042,0.0627,PSCH,2024-02-09,0.7738,0.1487,0.0775
dixon-coles,E0,2024-02-10,Fulham,Bournemouth,3,1,0.3689,0.2783,0.3529,PSCH,2024-02-09,0.5319,0.235,0.2331
elo-poisson,E0,2024-02-10,Fulham,Bournemouth,3,1,0.3689,0.2783,0.3529,PSCH,2024-02-09,0.4352,0.2583,0.3066
gbm,E0,2024-02-10,Fulham,Bournemouth,3,1,0.3689,0.2783,0.3529,PSCH,2024-02-09,0.4212,0.2448,0.3341
xg-dixon-coles,E0,2024-02-10,Fulham,Bournemouth,3,1,0.3689,0.2783,0.3529,PSCH,2024-02-09,0.4822,0.2444,0.2734
ensemble,E0,2024-02-10,Fulham,Bournemouth,3,1,0.3689,0.2783,0.3529,PSCH,2024-02-09,0.4678,0.2466,0.2856
dixon-coles,E0,2024-02-10,Man City,Everton,2,0,0.7799,0.1412,0.0789,PSCH,2024-02-09,0.7974,0.135,0.0675
elo-poisson,E0,2024-02-10,Man City,Everton,2,0,0.7799,0.1412,0.0789,PSCH,2024-02-09,0.8175,0.122,0.0605
gbm,E0,2024-02-10,Man City,Everton,2,0,0.7799,0.1412,0.0789,PSCH,2024-02-09,0.7269,0.1534,0.1197
xg-dixon-coles,E0,2024-02-10,Man City,Everton,2,0,0.7799,0.1412,0.0789,PSCH,2024-02-09,0.7611,0.1515,0.0875
ensemble,E0,2024-02-10,Man City,Everton,2,0,0.7799,0.1412,0.0789,PSCH,2024-02-09,0.7783,0.1405,0.0812
dixon-coles,E0,2024-02-10,Tottenham,Brighton,2,1,0.5639,0.209,0.2271,PSCH,2024-02-09,0.5369,0.2071,0.256
elo-poisson,E0,2024-02-10,Tottenham,Brighton,2,1,0.5639,0.209,0.2271,PSCH,2024-02-09,0.4777,0.2519,0.2705
gbm,E0,2024-02-10,Tottenham,Brighton,2,1,0.5639,0.209,0.2271,PSCH,2024-02-09,0.5153,0.2718,0.2128
xg-dixon-coles,E0,2024-02-10,Tottenham,Brighton,2,1,0.5639,0.209,0.2271,PSCH,2024-02-09,0.4832,0.2139,0.3029
ensemble,E0,2024-02-10,Tottenham,Brighton,2,1,0.5639,0.209,0.2271,PSCH,2024-02-09,0.5048,0.2356,0.2596
dixon-coles,E0,2024-02-10,Wolves,Brentford,0,2,0.4286,0.2748,0.2966,PSCH,2024-02-09,0.4073,0.2636,0.3291
elo-poisson,E0,2024-02-10,Wolves,Brentford,0,2,0.4286,0.2748,0.2966,PSCH,2024-02-09,0.4345,0.2584,0.3072
gbm,E0,2024-02-10,Wolves,Brentford,0,2,0.4286,0.2748,0.2966,PSCH,2024-02-09,0.442,0.2534,0.3047
xg-dixon-coles,E0,2024-02-10,Wolves,Brentford,0,2,0.4286,0.2748,0.2966,PSCH,2024-02-09,0.3705,0.2548,0.3747
ensemble,E0,2024-02-10,Wolves,Brentford,0,2,0.4286,0.2748,0.2966,PSCH,2024-02-09,0.4135,0.2581,0.3285
dixon-coles,E0,2024-02-10,Nott'm Forest,Newcastle,2,3,0.293,0.2567,0.4503,PSCH,2024-02-09,0.2227,0.2309,0.5464
elo-poisson,E0,2024-02-10,Nott'm Forest,Newcastle,2,3,0.293,0.2567,0.4503,PSCH,2024-02-09,0.2557,0.2506,0.4937
gbm,E0,2024-02-10,Nott'm Forest,Newcastle,2,3,0.293,0.2567,0.4503,PSCH,2024-02-09,0.3242,0.1866,0.4892
xg-dixon-coles,E0,2024-02-10,Nott'm Forest,Newcastle,2,3,0.293,0.2567,0.4503,PSCH,2024-02-09,0.2368,0.2266,0.5366
ensemble,E0,2024-02-10,Nott'm Forest,Newcastle,2,3,0.293,0.2567,0.4503,PSCH,2024-02-09,0.2583,0.2234,0.5182
dixon-coles,E0,2024-02-11,Aston Villa,Man United,1,2,0.4464,0.2476,0.306,PSCH,2024-02-09,0.4486,0.2526,0.2988
elo-poisson,E0,2024-02-11,Aston Villa,Man United,1,2,0.4464,0.2476,0.306,PSCH,2024-02-09,0.4856,0.2504,0.264
gbm,E0,2024-02-11,Aston Villa,Man United,1,2,0.4464,0.2476,0.306,PSCH,2024-02-09,0.4515,0.3011,0.2475
xg-dixon-coles,E0,2024-02-11,Aston Villa,Man United,1,2,0.4464,0.2476,0.306,PSCH,2024-02-09,0.4898,0.2398,0.2704
ensemble,E0,2024-02-11,Aston Villa,Man United,1,2,0.4464,0.2476,0.306,PSCH,2024-02-09,0.4694,0.2605,0.2701
dixon-coles,E0,2024-02-11,West Ham,Arsenal,0,6,0.1556,0.221,0.6234,PSCH,2024-02-09,0.2565,0.2318,0.5117
elo-poisson,E0,2024-02-11,West Ham,Arsenal,0,6,0.1556,0.221,0.6234,PSCH,2024-02-09,0.2501,0.2492,0.5007
gbm,E0,2024-02-11,West Ham,Arsenal,0,6,0.1556,0.221,0.6234,PSCH,2024-02-09,0.2068,0.1916,0.6015
xg-dixon-coles,E0,2024-02-11,West Ham,Arsenal,0,6,0.1556,0.221,0.6234,PSCH,2024-02-09,0.2328,0.2304,0.5368
ensemble,E0,2024-02-11,West Ham,Arsenal,0,6,0.1556,0.221,0.6234,PSCH,2024-02-09,0.2365,0.2255,0.538
dixon-coles,E0,2024-02-12,Crystal Palace,Chelsea,1,3,0.1926,0.2432,0.5642,PSCH,2024-02-09,0.3246,0.2689,0.4065
elo-poisson,E0,2024-02-12,Crystal Palace,Chelsea,1,3,0.1926,0.2432,0.5642,PSCH,2024-02-09,0.3655,0.2627,0.3719
gbm,E0,2024-02-12,Crystal Palace,Chelsea,1,3,0.1926,0.2432,0.5642,PSCH,2024-02-09,0.395,0.1894,0.4156
xg-dixon-coles,E0,2024-02-12,Crystal Palace,Chelsea,1,3,0.1926,0.2432,0.5642,PSCH,2024-02-09,0.3346,0.2631,0.4023
ensemble,E0,2024-02-12,Crystal Palace,Chelsea,1,3,0.1926,0.2432,0.5642,PSCH,2024-02-09,0.3552,0.2445,0.4003
dixon-coles,E0,2024-02-17,Man City,Chelsea,1,1,0.7417,0.1472,0.111,PSCH,2024-02-09,0.7265,0.1623,0.1112
elo-poisson,E0,2024-02-17,Man City,Chelsea,1,1,0.7417,0.1472,0.111,PSCH,2024-02-09,0.7772,0.1438,0.079
gbm,E0,2024-02-17,Man City,Chelsea,1,1,0.7417,0.1472,0.111,PSCH,2024-02-09,0.752,0.1245,0.1235
xg-dixon-coles,E0,2024-02-17,Man City,Chelsea,1,1,0.7417,0.1472,0.111,PSCH,2024-02-09,0.7164,0.1659,0.1177
ensemble,E0,2024-02-17,Man City,Chelsea,1,1,0.7417,0.1472,0.111,PSCH,2024-02-09,0.7448,0.1486,0.1066
dixon-coles,E0,2024-02-17,Tottenham,Wolves,1,2,0.641,0.1932,0.1657,PSCH,2024-02-09,0.6117,0.2018,0.1865
elo-poisson,E0,2024-02-17,Tottenham,Wolves,1,2,0.641,0.1932,0.1657,PSCH,2024-02-09,0.553,0.2344,0.2126
gbm,E0,2024-02-17,Tottenham,Wolves,1,2,0.641,0.1932,0.1657,PSCH,2024-02-09,0.5596,0.2885,0.1519
xg-dixon-coles,E0,2024-02-17,Tottenham,Wolves,1,2,0.641,0.1932,0.1657,PSCH,2024-02-09,0.6036,0.2007,0.1957
ensemble,E0,2024-02-17,Tottenham,Wolves,1,2,0.641,0.1932,0.1657,PSCH,2024-02-09,0.584,0.2298,0.1861
dixon-coles,E0,2024-02-17,Nott'm Forest,West Ham,2,0,0.4249,0.2748,0.3003,PSCH,2024-02-09,0.2946,0.2575,0.4479
elo-poisson,E0,2024-02-17,Nott'm Forest,West Ham,2,0,0.4249,0.2748,0.3003,PSCH,2024-02-09,0.3184,0.2607,0.4209
gbm,E0,2024-02-17,Nott'm Forest,West Ham,2,0,0.4249,0.2748,0.3003,PSCH,2024-02-09,0.3615,0.2587,0.3798
xg-dixon-coles,E0,2024-02-17,Nott'm Forest,West Ham,2,0,0.4249,0.2748,0.3003,PSCH,2024-02-09,0.3378,0.2633,0.399
ensemble,E0,2024-02-17,Nott'm Forest,West Ham,2,0,0.4249,0.2748,0.3003,PSCH,2024-02-09,0.3277,0.2605,0.4118
dixon-coles,E0,2024-02-17,Newcastle,Bournemouth,2,2,0.4861,0.2468,0.2671,PSCH,2024-02-09,0.6666,0.1866,0.1468
elo-poisson,E0,2024-02-17,Newcastle,Bournemouth,2,2,0.4861,0.2468,0.2671,PSCH,2024-02-09,0.5749,0.228,0.1971
gbm,E0,2024-02-17,Newcastle,Bournemouth,2,2,0.4861,0.2468,0.2671,PSCH,2024-02-09,0.5467,0.2625,0.1908
xg-dixon-coles,E0,2024-02-17,Newcastle,Bournemouth,2,2,0.4861,0.2468,0.2671,PSCH,2024-02-09,0.6651,0.1819,0.153
ensemble,E0,2024-02-17,Newcastle,Bournemouth,2,2,0.4861,0.2468,0.2671,PSCH,2024-02-09,0.6148,0.2136,0.1716
dixon-coles,E0,2024-02-17,Fulham,Aston Villa,1,2,0.3136,0.26,0.4264,PSCH,2024-02-09,0.3327,0.2511,0.4162
elo-poisson,E0,2024-02-17,Fulham,Aston Villa,1,2,0.3136,0.26,0.4264,PSCH,2024-02-09,0.2712,0.254,0.4748
gbm,E0,2024-02-17,Fulham,Aston Villa,1,2,0.3136,0.26,0.4264,PSCH,2024-02-09,0.3142,0.279,0.4068
xg-dixon-coles,E0,2024-02-17,Fulham,Aston Villa,1,2,0.3136,0.26,0.4264,PSCH,2024-02-09,0.3166,0.2469,0.4365
ensemble,E0,2024-02-17,Fulham,Aston Villa,1,2,0.3136,0.26,0.4264,PSCH,2024-02-09,0.3084,0.258,0.4337
dixon-coles,E0,2024-02-17,Burnley,Arsenal,0,5,0.0935,0.1587,0.7478,PSCH,2024-02-09,0.1784,0.215,0.6065
elo-poisson,E0,2024-02-17,Burnley,Arsenal,0,5,0.0935,0.1587,0.7478,PSCH,2024-02-09,0.1729,0.2204,0.6067
gbm,E0,2024-02-17,Burnley,Arsenal,0,5,0.0935,0.1587,0.7478,PSCH,2024-02-09,0.2117,0.1988,0.5895
xg-dixon-coles,E0,2024-02-17,Burnley,Arsenal,0,5,0.0935,0.1587,0.7478,PSCH,2024-02-09,0.1632,0.2139,0.6229
ensemble,E0,2024-02-17,Burnley,Arsenal,0,5,0.0935,0.1587,0.7478,PSCH,2024-02-09,0.1809,0.2121,0.607
dixon-coles,E0,2024-02-17,Brentford,Liverpool,1,4,0.1995,0.2175,0.583,PSCH,2024-02-09,0.1952,0.2147,0.5901
elo-poisson,E0,2024-02-17,Brentford,Liverpool,1,4,0.1995,0.2175,0.583,PSCH,2024-02-09,0.1884,0.2279,0.5837
gbm,E0,2024-02-17,Brentford,Liverpool,1,4,0.1995,0.2175,0.583,PSCH,2024-02-09,0.1842,0.1699,0.646
xg-dixon-coles,E0,2024-02-17,Brentford,Liverpool,1,4,0.1995,0.2175,0.583,PSCH,2024-02-09,0.2476,0.2246,0.5278
ensemble,E0,2024-02-17,Brentford,Liverpool,1,4,0.1995,0.2175,0.583,PSCH,2024-02-09,0.2033,0.2088,0.588
dixon-coles,E0,2024-02-18,Luton,Man United,1,2,0.2244,0.2341,0.5415,PSCH,2024-02-09,0.2082,0.2403,0.5514
elo-poisson,E0,2024-02-18,Luton,Man United,1,2,0.2244,0.2341,0.5415,PSCH,2024-02-09,0.2747,0.2547,0.4706
gbm,E0,2024-02-18,Luton,Man United,1,2,0.2244,0.2341,0.5415,PSCH,2024-02-09,0.2729,0.2399,0.4872
xg-dixon-coles,E0,2024-02-18,Luton,Man United,1,2,0.2244,0.2341,0.5415,PSCH,2024-02-09,0.2335,0.2374,0.5291
ensemble,E0,2024-02-18,Luton,Man United,1,2,0.2244,0.2341,0.5415,PSCH,2024-02-09,0.2464,0.2437,0.51
dixon-coles,E0,2024-02-18,Sheffield United,Brighton,0,5,0.1977,0.2247,0.5777,PSCH,2024-02-09,0.2042,0.2225,0.5733
elo-poisson,E0,2024-02-18,Sheffield United,Brighton,0,5,0.1977,0.2247,0.5777,PSCH,2024-02-09,0.214,0.2382,0.5478
gbm,E0,2024-02-18,Sheffield United,Brighton,0,5,0.1977,0.2247,0.5777,PSCH,2024-02-09,0.2552,0.2129,0.5319
xg-dixon-coles,E0,2024-02-18,Sheffield United,Brighton,0,5,0.1977,0.2247,0.5777,PSCH,2024-02-09,0.186,0.2094,0.6046
ensemble,E0,2024-02-18,Sheffield United,Brighton,0,5,0.1977,0.2247,0.5777,PSCH,2024-02-09,0.2139,0.221,0.5651
dixon-coles,E0,2024-02-19,Everton,Crystal Palace,1,1,0.5302,0.278,0.1918,PSCH,2024-02-09,0.4085,0.2895,0.302
elo-poisson,E0,2024-02-19,Everton,Crystal Palace,1,1,0.5302,0.278,0.1918,PSCH,2024-02-09,0.4544,0.2557,0.2899
gbm,E0,2024-02-19,Everton,Crystal Palace,1,1,0.5302,0.278,0.1918,PSCH,2024-02-09,0.4806,0.2459,0.2735
xg-dixon-coles,E0,2024-02-19,Everton,Crystal Palace,1,1,0.5302,0.278,0.1918,PSCH,2024-02-09,0.4622,0.2699,0.2679
ensemble,E0,2024-02-19,Everton,Crystal Palace,1,1,0.5302,0.278,0.1918,PSCH,2024-02-09,0.4513,0.2652,0.2835
dixon-coles,E0,2024-02-20,Man City,Brentford,1,0,0.8214,0.114,0.0646,PSCH,2024-02-09,0.7838,0.1349,0.0812
elo-poisson,E0,2024-02-20,Man City,Brentford,1,0,0.8214,0.114,0.0646,PSCH,2024-02-09,0.7856,0.1394,0.075
gbm,E0,2024-02-20,Man City,Brentford,1,0,0.8214,0.114,0.0646,PSCH,2024-02-09,0.7457,0.1321,0.1222
xg-dixon-coles,E0,2024-02-20,Man City,Brentford,1,0,0.8214,0.114,0.0646,PSCH,2024-02-09,0.7353,0.1598,0.1049
ensemble,E0,2024-02-20,Man City,Brentford,1,0,0.8214,0.114,0.0646,PSCH,2024-02-09,0.7642,0.1415,0.0943
dixon-coles,E0,2024-02-21,Liverpool,Luton,4,1,0.7694,0.1388,0.0919,PSCH,2024-02-09,0.8475,0.1045,0.048
elo-poisson,E0,2024-02-21,Liverpool,Luton,4,1,0.7694,0.1388,0.0919,PSCH,2024-02-09,0.7872,0.1386,0.0743
gbm,E0,2024-02-21,Liverpool,Luton,4,1,0.7694,0.1388,0.0919,PSCH,2024-02-09,0.7325,0.185,0.0825
xg-dixon-coles,E0,2024-02-21,Liverpool,Luton,4,1,0.7694,0.1388,0.0919,PSCH,2024-02-09,0.8437,0.1043,0.052
ensemble,E0,2024-02-21,Liverpool,Luton,4,1,0.7694,0.1388,0.0919,PSCH,2024-02-09,0.8068,0.1302,0.0629
dixon-coles,E0,2024-02-24,Man United,Fulham,1,2,0.5875,0.2275,0.185,PSCH,2024-02-09,0.5405,0.2361,0.2234
elo-poisson,E0,2024-02-24,Man United,Fulham,1,2,0.5875,0.2275,0.185,PSCH,2024-02-09,0.5637,0.2314,0.205
gbm,E0,2024-02-24,Man United,Fulham,1,2,0.5875,0.2275,0.185,PSCH,2024-02-09,0.5717,0.2501,0.1782
xg-dixon-coles,E0,2024-02-24,Man United,Fulham,1,2,0.5875,0.2275,0.185,PSCH,2024-02-09,0.5497,0.2273,0.223
ensemble,E0,2024-02-24,Man United,Fulham,1,2,0.5875,0.2275,0.185,PSCH,2024-02-09,0.5569,0.2363,0.2068
dixon-coles,E0,2024-02-24,Crystal Palace,Burnley,3,0,0.4905,0.2743,0.2352,PSCH,2024-02-09,0.4569,0.2711,0.272
elo-poisson,E0,2024-02-24,Crystal Palace,Burnley,3,0,0.4905,0.2743,0.2352,PSCH,2024-02-09,0.4506,0.2562,0.2931
gbm,E0,2024-02-24,Crystal Palace,Burnley,3,0,0.4905,0.2743,0.2352,PSCH,2024-02-09,0.5339,0.2159,0.2503
xg-dixon-coles,E0,2024-02-24,Crystal Palace,Burnley,3,0,0.4905,0.2743,0.2352,PSCH,2024-02-09,0.473,0.2713,0.2556
ensemble,E0,2024-02-24,Crystal Palace,Burnley,3,0,0.4905,0.2743,0.2352,PSCH,2024-02-09,0.4788,0.2532,0.268
dixon-coles,E0,2024-02-24,Brighton,Everton,1,1,0.5192,0.244,0.2368,PSCH,2024-02-09,0.5481,0.2393,0.2127
elo-poisson,E0,2024-02-24,Brighton,Everton,1,1,0.5192,0.244,0.2368,PSCH,2024-02-09,0.5514,0.2348,0.2137
gbm,E0,2024-02-24,Brighton,Everton,1,1,0.5192,0.244,0.2368,PSCH,2024-02-09,0.6146,0.2233,0.1621
xg-dixon-coles,E0,2024-02-24,Brighton,Everton,1,1,0.5192,0.244,0.2368,PSCH,2024-02-09,0.5475,0.2253,0.2272
ensemble,E0,2024-02-24,Brighton,Everton,1,1,0.5192,0.244,0.2368,PSCH,2024-02-09,0.5661,0.2311,0.2028
dixon-coles,E0,2024-02-24,Bournemouth,Man City,0,1,0.1438,0.1867,0.6695,PSCH,2024-02-09,0.0968,0.1502,0.753
